Art_ID,Art_Q,Art_A
1,Which Shakespearean play features the characters of Goneril, Regan and Cordelia?,King Lear
2,Who created the Angel of the North?,Antony Gormley
3,How many lines are there in a sonnet?,14
4,Who created the famous sculpture 'The Thinker'?,Auguste Rodin
5,The Mona Lisa by Leonardo da Vinci is on display in which Paris museum?,Louvre
6,Which two cities provide the setting for Charles Dickens’ ‘A Tale of Two Cities’?,London and Paris
7,In which city would you find The Van Gogh Museum?,Amsterdam
8,The Hunger Games young adult series was written by which author?,Suzanne Collins
9,Who wrote the Curious Incident of the Dog in the Night Time?,Mark Haddon
10,Which two primary colours could you mix together to make purple when painting?,Red and blue
